,Text,Emotion
96,Remember #Waterloo @BritishMuseum satiric prints show http://t.co/CFKiu266QH or explore #IFPDA http://t.co/RNFAGjI0Lo http://t.co/u5V29POeJJ,neutral
97,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in @NationalGallery Thanks for placing it center stage.,joy
98,Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance @Tate_StIves http://t.co/2ClcmROoh8 http://t.co/WhXjHh6PdA,neutral
99,* @hist_astro @britishmuseum It looks like there's some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.,neutral
100,"@PlymouthMuseum new exhibition http://t.co/uZD8O51WOe  Famous 5 http://t.co/EDVCFIXDVy  btw, #7sTurns10 - @7Stories: http://t.co/cgUdCxkDhc",neutral
101,"Yes! ❤💛💚💙💜“@V_Septembre: #LoveWins 🌈  Georges #Seurat - Étude pour ""Baigneurs à Asnières"", @NationalGallery, 1883 http://t.co/8jmdOVoJb1”",neutral
103,A @heritagelottery grant helped us acquire 'Whistlejacket' in 1997. Learn more: http://t.... http://t.co/DrJOxGFsXp via @NationalGallery,joy
105,@britishmuseum It's amazing! You're always so up to date! The best museum in the world! Thanks!,joy
106,#indigenousAustralia @britishmuseum moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.,neutral
107,Have you seen the #sand in the #paint? @NationalGallery   The #Beach at #Trouville (1870) by Claude #Monet http://t.co/66wZL3xCpn,neutral
108,@FitzMuseum_UK Yum! 😀,joy
109,{ @britishmuseum } #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics http://t.co/wjMdbqJKKM,neutral
110,@britishmuseum Of course! Nothing more and nothing less than the eye of Horus! Greetings!,joy
111,"@kdastgirkhan @NationalGallery u didn't respond to my compliments,earlier?",neutral
112,@DerekSharplol @britishmuseum for the peninsula wars and the 1st defeat of Napolean.,neutral
113,@britishmuseum well deserved. Congrats!,joy
114,@britishmuseum loved the exhibition today! My mum especially loved it! X,joy
115,@MicroPasts @britishmuseum task 40821 of Foreign Weapons before starting my real job for the day - happy Monday! http://t.co/4tU8k7lgRi,joy
117,User testing and 3D printing @RAMMuseum,neutral
118,@britishmuseum @GerardAraud Lenin's favourite painter,neutral
119,I got 10/10 in 'Can you guess the artwork?' http://t.co/jyDiunjQg3 #arthistorydegree #wellworthit @NationalGallery @Tate @NatGalleryAus,joy
120,@NationalGallery @sladurantaye And Rubens' Massacre of the Innocents @agotoronto http://t.co/S6JyNp1cLr,neutral
121,@HolbornDining one of the most delicious coffee's ever @RosewoodLondon before tackling the Greek exhibition @britishmuseum,neutral
123,This is how a show should be hung. Don't miss Christopher Williams' The Production Line of Happiness @_TheWhitechapel http://t.co/6GIaHBKSXD,neutral
124,A young friend has drawn us a great pic of @kettlesyard inside and out with his new @archiveshub pencil #CastleHill15 http://t.co/kAxZ2Vi2c8,joy
125,@ReclaimOurBard @pcs_union @NationalGallery : Culture? Funded by the P.R. budget? DO ME A FAVOUR. I wouldn't go there if you paid me.,disgust
126,@Peter_Bridgman got a painting in London Open at @_TheWhitechapel and couple of paintings in Reality at @walkergallery - both open mid July,neutral
127,Artist Larissa Sansour discusses the use of sci-fi in her films @_thewhitechapel 27 June with @FL_FLAMIN @Film_London http://t.co/TR3VI57skn,neutral
128,@nationalgallery #AskTheGallery When will you be re-instating Candy Udwin? Why should the arts be subject to private profit?,anger
129,Patients of Sharp Ward are enjoying historic views of the city thanks to @PlymouthMuseum http://t.co/TIx8wplLu9 http://t.co/x0H2a5lkHy,joy
130,"Rosetta Stone ""@britishmuseum: .@SenderosP example of what the Napoleonic Wars brought out of Egypt #Waterloo200 http://t.co/SX7ks6lwwn”",neutral
131,@Rossy__RORO   It is also a privilege to have the great @NationalGallery in London it is truly wonderful #arttherapy,joy
132,@Aisling_Pash @schemaly @britishmuseum Are you encouraging them to violate men's privacy? Assault! This woman's advocating assault!,disgust
133,@NationalGallery The bird cage to represent infancy. The instrument to represent youth . The Armour to represent strength and manhood,neutral
134,Fantastic to be in London today speaking @ACEnterprises event. Met lovely people from @GH_Sudbury &amp; @CamUnivMuseums http://t.co/3uM1n3njPF,joy
136,open source Events CMS @southbankcentre  - could this be what @CamUnivMuseums needs?  @robgethers #culturegeek,neutral
137,#askthegallery What do you take more pride in: Hanging classic artwork or hanging your staff out to dry? @NationalGallery,anger
139,"""Crisis Through the Ages"" topic of our one-day conference. Booking is free but mandatory. Thx! @ManeyArchaeo @wellcometrust @britishmuseum",neutral
140,Walking through the #British #museum #London @britishmuseum @StreetArtLondon @bcn_arte #Art @DallasMuseumArt  : https://t.co/z9i1tR2Dy4,neutral
141,"Excited for discussions on the potential, practicalities &amp;challenges of museum archival research #museumarchive @britishmuseum event in July",joy
142,@Hellboy919 @AboutLondon @MadameTussauds @BateauxLondon @britishmuseum @Camdencoffee @ThamesRIBExp @thamesclippers @EmiratesAirLDN thank you,joy
143,Thanks to Lucy &amp; co. New Rhythms Through New Eyes going up in the Education studio @kettlesyard in prep for Saturday! http://t.co/DMWyOwiy23,joy
144,Wonderful book from trip to the @britishmuseum today. Such a fun way to improve on geography knowledge! #maps http://t.co/JYYzIcGp4U,joy
145,"I'm at @NationalGallery in London, Greater London https://t.co/6XTeuY6JEb",neutral
146,"In London @nationalgallery, a beautiful Vermeer #inarttours #masterpieces https://t.co/VukC9cOZkD",joy
147,.@NationalGallery ignores questions on sponsorship fees received from Shell. No surprises. #Artwash https://t.co/sTcbuC1dhz,disgust
148,CEO N Chandra welcomed 450 guests to the TCS UK reception which featured 400 yrs of #shakespeare magic @britishmuseum http://t.co/b0DR7pBRnK,neutral
149,Jackson Pollock @tateliverpool http://t.co/mLll6yHSd8 http://t.co/m2nk96LqCV,neutral
150,"@ATG_Editorial at the #SoFAA dinner listening to the wonderful main speaker, Tim Knox of @FitzMuseum_UK",joy
151,Fantastic @johnmcdonnellMP standing up for workers @NationalGallery #noprivatisation while @edvaizey sits on fence! http://t.co/QzBYpUAtQt,anger
152,Enjoyed a couple of hours in side the British Museum @britishmuseum lonelyplanet #summer #NotSoSunny… https://t.co/BHGoPi3c8T,joy
153,not long till the blind spots exhibition! #jacksonpollock @tateliverpool 😍,joy
154,Lo viste? El tuit más popular de hoy entre las personas que sigo http://t.co/L5gaYeSWie por @britishmuseum,neutral
155,"@britishmuseum you have incredibly helpful staff here, from security team to support staff in rooms and galleries! #greatservice",joy
156,Amazing job team @britishmuseum - @periscopeco 2 in the bag. Massive thanks to @thehistoryguy. Happy #Waterloo200 peeps!,joy
157,.@CarolineLucas can you attend adjournment debate tomorrow #noprivatisation @NationalGallery #reinstatecandy @NGNotForSale @PCSCultureGroup,neutral
158,@RAMMuseum / Exeter Redcoats ready for the @rugbyworldcup coming to @SandyParkExeter @RWC2015Exeter pic @maustinpics http://t.co/chHI9ZylF3,neutral
159,"After his defeat at Waterloo, Napoleon abdicated for the second time http://t.co/bRUD9bNgj6  via @britishmuseum http://t.co/5SlVORrunq",neutral
160,.@maxmara Art Prize winner Corin Sworn creates a new large-scale installation @_TheWhitechapel http://t.co/RFTa1anHVt http://t.co/oGF4ir0B1K,neutral
161,"6 years ago today, the greatest museum opened: the #acropolismuseum. @britishmuseum #givethemback #elginmarbles #greece",joy
162,@britishmuseum Spartan! Do you suppose some knew when to pose?,neutral
163,BEATRICE GIBSON will present her new film THIS SATURDAY @_TheWhitechapel @FL_FLAMIN Book now: http://t.co/0rDWW3zHKv http://t.co/zQQTulLM3J,neutral
165,Had an excellent lunchtime visit to @britishmuseum with @theresecoen this afternoon for the #DefiningBeauty exhibition.,joy
166,The perfect location to wear #VanessaGounden ... The @britishmuseum's Great Court #WearableART #Artivism http://t.co/RAAvlb1AcW,joy
167,@pennyprileszky @stockleyacademy @NationalGallery whole trip free!,joy
168,.@nationalgallery Reinstate Candy after tribunal success #AskTheGallery @PCSCultureGroup http://t.co/hiQ6QFT8o0,neutral
169,#ThemePark #Leisure Second phase of Cornwallâs Tate St Ives steams ahead @Tate_StIves @ILoveCornwallUK @BAMC... http://t.co/Rc35aNAPXI,neutral
170,@britishmuseum @MrsSymbols @adamlambert,neutral
171,Praise for @tateliverpool  https://t.co/QlriENJBiV,joy
172,@NationalGallery what is the scope of getting some of the art and ideally complete exhibitions outside London? NW maybe  #AskTheGallery,neutral
173,"...and @BritishMuseum have the Sutton Hoo Anglo-Saxon hoard, including the iconic helmet. Striking up close. http://t.co/gipigjfNAy",joy
174,Looking forward to seeing the Australia exhibition at @britishmuseum soon. My take on the Ancient Greece exhibit: http://t.co/ef2NOvoJJY,joy
176,Evidence ?@RieHepworth @PaulKindersley @NTHepburn @kettlesyard  correct Christopher Wood and correct time frame ? http://t.co/PvbJqWAWmr,neutral
178,Work experience was great @FitzMuseum_UK http://t.co/qRbr8dBsGr,joy
179,@britishmuseum I'm curious to know what is the story behind this unsettling display? http://t.co/7yhqISLHSx,neutral
180,Frans Hals; We replaced the heavy 70s pastiche with a  Dutch 17th century rosewood moulding frame. @NationalGallery http://t.co/g0yhYbE0Pp,neutral
181,@RAMMuseum Thanks to Tom for helping me study Bronze Age metalwork this week for my #phd. Read about my visit here: http://t.co/O4kjQaxQd9,joy
182,"My ToI Q&amp;A: W/writer,filmmaker &amp; first woman head of  @NationalGallery @RothschildHan on 'The Improbability of Love': http://t.co/6UgzVuXY5W",neutral
184,Henry VIII crowned king #onthisday 1509.19th-century portrait (after Holbein) http://t.co/6g35yBbQqu http://t.co/XltevLY0Qh @britishmuseum,neutral
185,"@WMNNews @Tate_StIves haven't seen the garden yet but will soon. I'm a fan, that's what I am!! Rhyme of the day http://t.co/NchNHWoJJA",joy
186,Visitors like 3D weather. Millionth @RAMMuseum visitor today! http://t.co/nmJMxf2XFw,joy
187,Get in the mood for #Pollock &amp; make some Jazzy Drips with the family http://t.co/WT31sacD13  @tateliverpool http://t.co/Ocn1AP9LPs,neutral
188,@_TheWhitechapel  : Cover Ulysses-nya Joyce karya Matisse : http://t.co/IoubnWlnCB,neutral
189,Ancient lives new discoveries @britishmuseum @VernonSys http://t.co/Kz7VujoSl4,neutral
191,The most erotic painting in The @NationalGallery  No! not the Bronzino!-- but--'Leda &amp; the Swan' after Michealangleo http://t.co/rOLeopUrOJ,surprise
192,@Tate_StIves hear hear. Super interesting,joy
193,@NationalGallery Apart from the obvious skull? No idea!,neutral
194,"@BBC_Culture @PlymouthMuseum Oh dear, why not Dame Laura Knight? Surely 'The Beach' should be in this list!",sadness
195,@FitzMuseum_UK http://t.co/LRg6D2CIvu,neutral
196,Following on from the UK's newest royal baby @NationalGallery posts painting of original Queen Charlotte: https://t.co/wtBa6Gfai1,neutral
197,"Ooh, this looks good - Jackson Pollock exhibition opens @tateliverpool 30th June http://t.co/74WzAzjotq http://t.co/1CQzS3x3Kl",joy
198,Nothing to do with football this one... its just a tiny bit exciting @tateliverpool #Pollock http://t.co/TUmZb6F7Gp,joy
199,TY / M @Seygnovert Also follow @LoudenStudio @NYAcademyofArt @NationalGallery 2017 Abstract Film Program,neutral
200,@NationalGallery EXPO BOISSONNET FRENCH ARTIST PARIS 2016   1958 http://t.co/Zjkmp4cpXm,neutral
202,#ILoveMuseums as they provide fantastic opportunities to #ExploreYourSubject as a prospective applicant for #university! @CamUnivMuseums,joy
203,Castle Hill Open Day – @kettlesyard http://t.co/Cqd05Eqbm5,neutral
204,Fantastic performance by Kerry Yong after @beatricegibson film as part of @FL_FLAMIN evnt on Sat @_theWhitechapel http://t.co/IDkceOIoB6,joy
205,.@NationalGallery #AskTheGallery http://t.co/xUWjRy64jU,neutral
206,@britishmuseum @JHGHendriks Wasn't that the Grand Old Duke of York?,neutral
207,@britishmuseum smooch!,neutral
208,#ARTiculation speakers are presenting @britishmuseum with @arthistorians  http://t.co/pM6OT0phoN,neutral
209,@britishmuseum सुडौल ख़ूबसूरती,neutral
210,"I'll be talking about The Greeks in Southern Italy at @britishmuseum tomorrow, Rm 73, 1.15pm. Happy memories of #Gravina #archaeology",joy
211,One of my favourite artefacts from one of my favourite museums @MAACambridge ! https://t.co/vsc3l73QuR,joy
212,HAPPY BIRTHDAY TO MY MAIN MAN (sorry @DanDiPiero) 400 YEARS YOUNG TODAY (in his great selfie from @NationalGallery) ! http://t.co/zL1yMv4Izb,joy
213,#FF Happy weekend! @CommunityArchae @britishmuseum @PyBossa @chancock_na @joshuathogue,joy
214,@NationalGallery Lovely choice!,joy
215,"Jackson pollock and Glenn Ligon opening tomorrow at @tateliverpool great combo, both beautiful #NotToBeMissed",joy
216,@_TheWhitechapel @mitpress @monoskop http://t.co/dTz66QJhGz,neutral
217,@emmalbowkett @_TheWhitechapel Its Best thing about photography I guess :),joy
218,"""@britishmuseum: Ancient Egyptians placed amulets onto mummies to harness supernatural powers  They have this eye everywhere.",neutral
219,@kdastgirkhan @nationalgallery hmmmmmmm nice,joy
220,Good to see you yesterday &amp; all the work in progress @flocktognews @wordpressdotcom The @ThelmaHulbert is coming together,joy
221,Looking forward to the #GlennLigon talk at @tateliverpool this afternoon :-),joy
222,"Portrait of Doge Leonardo Loredan - Giovanni Bellini, 1501 (On display @NationalGallery) http://t.co/PedW4mdjJV",neutral
223,Well worth catching before it ends early July #DefiningBeauty @britishmuseum http://t.co/qxIn5W7k9a,joy
224,Come to c it @tateliverpool staying @hotelindigo with @TravelBird_UK &amp; choose to go on #dazzleferry @MerseyFerries  https://t.co/B0UM0raumJ,neutral
225,"Tomorrow I'll have a London #art day, starting @TPGallery , then @britishmuseum and afterwards the @royalacademy . A strong dose of art! :-)",joy
226,@britishmuseum Did Napoleon have to have bandages on his haemorrhoids changed during the battle? Or just a myth? #Waterloo200,neutral
227,"@MuseeLouvre @museiincomune @leCMN @GoldUnveiled @britishmuseum @MarDixon @Museo_MADRE Magnificent, would love to learn more about this hand",joy
228,"Get your child's creative juices flowing at 'Imagination Station Special: Paper Picnic Time', tom'row at @PlymouthMuseum - 10.30-12, FREE!",neutral
229,"""A great modern British institution"" - great piece from the @guardian on the fantastic @tateliverpool : http://t.co/wm6Es7gk69",joy
230,...al vil óleo @MilenioYucatan @revistayucatan @CulturaYucatan @SejuveYuc @GranMMM @NationalGallery @gobiernoyucatan http://t.co/BhDhnzWN4V,neutral
231,@britishmuseum  podría tratarse de la divinidad fenicia del cereal?,neutral
232,@britishmuseum Excelente colección!,joy
233,"Tomorrow: @_TheWhitechapel Gallery Children’s Commission goes on display, featuring work by Brazilian artist Rivane Neuenschwander",neutral
234,@HistoryGems @britishmuseum gives me the shivers every time I see this #aweinspiring,surprise
235,"A peachy morning at the excellent ""Defining Beauty"" exhibition @britishmuseum",joy
236,"@britishmuseum May there be Peace in the North. South. East &amp; West. May there be Peace throughout the world. Druid summer solstice, AH Rite",neutral
237,@_TheWhitechapel One of my 5 favourite places for contemporary art ! Great discovery today ! #artinlondon #gallery http://t.co/zAOImhy7JG,joy
238,Buzzing on WINGIT #LDN RT @PeytonandByrne It's wine o'clock at the National Cafe with oliverpeyton @nationalgallery tonight - half price...,joy
240,Great night in Cambridge with the Zugubal dancers from the Torres Strait! @MAACambridge http://t.co/HidjzmWvgA,joy
241,@_TheRowanTree_ Thank you. Have a lovely weekend x @sewingcircus @SewBloominHappy @tateliverpool @FACT_Liverpool @LarksVintage,joy
242,@AdamKoszary @BW_126 Liking @RAMMuseum 's use of Instagram to show behind the scenes &amp; things visitors might miss on a visit. #InstaMuseum,joy
243,We made a virtual @britishmuseum for our games art students work http://t.co/BUxCb2nov9,neutral
244,Off for a meet @RAMMuseum about some really exciting stuff for #exeter grey day will be #beautiful #breakfastofkings http://t.co/lRwKbGxOLk,joy
245,@CamUnivMuseums @ilovemuseum I love Museums because they remind us that others before found a way to survive and also Periwigs  are great:),joy
246,#Cambridge will not be the same for my next visits but I look forward to the results! @kettlesyard @rorieborealis  https://t.co/0spfnIyHiK,joy
247,"The monumental 'Italian Woman' is by Corot, although he was best known as a landscape pai... http://t.co/mUzceCnoTK via @NationalGallery",neutral
248,#cfp #conference 'negotiating art. dealers and museums' @NationalGallery #london april 2016: http://t.co/xhh2iqURte,neutral
249,Hidden watercolour treasures go on display at @FitzMuseum_UK - http://t.co/Yz5DTi4jGU http://t.co/4jG25VK2bi,joy
250,@britishmuseum turquoise eyes!!!,surprise
251,saw Indigenous Australia exhibition @britishmuseum superbly presented but with harrowing vision of colonisation http://t.co/oLM2iQRLvh,joy
252,Weekend of last chances feat. Modern Heroism: Printmaking and the legacy of Napoleon @FitzMuseum_UK &amp; Richard Billingham @Townergallery #art,neutral
253,Thank you for the #FF @BHandL @GTroopRHA @sinonevero @suzilove @ThelmaHulbert @LansonLoyalty @AntiqueMag @BHL_valuer @trueyankees,joy
254,@britishmuseum @JSuhermanBailey this seems quite clear in the copy. Unfair to take that one word &amp; apply to entire thing.,anger
255,@britishmuseum why did Napoleon keep using columns against British line? #Waterloo200,neutral
257,"Don't miss @Tate_StIves' Material Histories seminar, inc. #Linder &amp; Dawn Ades in conversation http://t.co/BLyfFRn04G http://t.co/OzAHd8W2J8",neutral
258,Would this be of interest @Objects2015 @ArtatARB @kettlesyard ? https://t.co/DQjQEKi0It,neutral
259,"#IndigenousAustralia at @britishmuseum is beautiful, enlightening and thought-provoking. Well worth a visit!",joy
260,"@FitzMuseum_UK ta, the release we were sent wasn't clear, but will amend that now",neutral
261,The Place's subtle dance piece performed with AgeUK @britishmuseum Defining Beauty exhibition didn't really work; bring back the bacchantes?,sadness
262,PICTURES: #EnidBlyton #exhibition in #Plymouth #Museum | http://t.co/FtjyJcgsAV via @WMNNews #devon @PlymouthMuseum http://t.co/syuU8tNXMq,neutral
263,One of Ch. Shivaji's original portrait is housed in @britishmuseum http://t.co/zlcdNxpQGA #MarathiLondon http://t.co/pXiXzTiVV4,neutral
264,Ooo we bet this was good @britishmuseum! #presentfilms https://t.co/iqVGoqG1Wh,joy
265,In London?  Missing Cleveland?  Then get thee to the @NationalGallery for this elite show: http://t.co/icLbKnjHLx,neutral
267,THE TWEETETTES TIMES is out! http://t.co/hxrjtCGx9J Stories via @britishmuseum,neutral
268,"Now Showing: Images Moving Out Onto Space, work from eight artists spanning 50 years @Tate_StIves https://t.co/P0pXGOfCP3",neutral
269,"#NG365 Willem Duyster's ""Soldiers Fighting Over Booty in a Barn"" (c.1623-24) @NationalGallery #art http://t.co/Emj3mGrD2Q",neutral
270,Press view at @tateliverpool for #jacksonpollock #blindspots http://t.co/aEzjmkbGv1,neutral
271,A lot of the scholarly establishment will dismiss these as modern ideas inapplicable to the material &gt; @foxvertebrae @britishmuseum,neutral
272,Jackson Pollock press view @tateliverpool and some lovely themed spattered cupcakes http://t.co/lr567edB1H,joy
273,"Books, films, Greeks, coffee, curry. Perfect Saturday with @ml42. @britishmuseum @Foyles @FoppCovent @monmouthcoffee @Dishoom @CurzonBbury",joy
274,"@RathfernPS Had a brilliant(but tiring)trip to the @britishmuseum with Nebula class today,very well behaved great ambassadors for the school",joy
